['CTKA3.SA', 0.023089298776149365, 0.20069991631174125, [['high', 2.0668931192564735], ['low', 0.31264155765749374], ['null', 0.0033268854742585113]], [['null', 0.831858407079646], ['low', 0.08527755430410297], ['high', 0.08286403861625101]], 1243]
['CTKA4.SA', 0.017843920860382594, 0.31502011679682346, [['high', 0.9560725249552655], ['low', 0.17433497177556231], ['null', 0.00855731398691773]], [['null', 0.40707964601769914], ['low', 0.3266291230893001], ['high', 0.26629123089300083]], 1243]
['CTNM3.SA', 0.020595344150632213, 0.12451328352777016, [['high', 0.6207547300266769], ['low', 0.09823838663842394], ['null', 0.005023866393970134]], [['null', 0.674175382139984], ['high', 0.17055510860820594], ['low', 0.15526950925181013]], 1243]
['CTNM4.SA', -0.03127112354085221, 0.0946822049439385, [['high', 0.18594845703669957], ['low', 0.04659216472223484], ['null', 0.049299996495246884]], [['low', 0.5760257441673371], ['high', 0.34352373290426386], ['null', 0.08045052292839903]], 1243]
['CTSA3.SA', -0.014929245235069005, 0.21896452305784564, [['high', 0.42961442228910085], ['low', 0.10901383136589554], ['null', 0.07790767547138576]], [['low', 0.4991961414790997], ['high', 0.35691318327974275], ['null', 0.14389067524115756]], 1244]
['CTSA4.SA', -0.01189849173524372, 0.1386296472652932, [['high', 0.3017329534791167], ['low', 0.06844079464773006], ['null', 0.044701540666352575]], [['low', 0.48392282958199356], ['high', 0.3207395498392283], ['null', 0.19533762057877813]], 1244]
['CVCB3.SA', -0.05040640319275319, 0.32593214071065285, [['high', 0.5497745565527701], ['low', 0.1645870559055693], ['null', 0.14770182541438512]], [['low', 0.5635048231511254], ['high', 0.41961414790996787], ['null', 0.016881028938906754]], 1244]
['DASA3.SA', -0.09248389864274544, 0.7108199977798094, [['high', 1.7788860208314399], ['low', 0.4075000290421472], ['null', 0.01447532574335734]], [['low', 0.4437299035369775], ['high', 0.2958199356913183], ['null', 0.2604501607717042]], 1244]
['DIRR3.SA', -0.000753328347896073, 0.3108384544059778, [['high', 0.4373970031738281], ['low', 0.18562363187150013], ['null', 0.13815920693533762]], [['high', 0.4983922829581994], ['low', 0.4959807073954984], ['null', 0.005627009646302251]], 1244]
['DOHL3.SA', 0.013235728968944841, 0.15395012692108523, [['high', 3.140769417469318], ['low', 0.3322221850171501], ['null', 0.001018018980283995]], [['null', 0.8930008045052292], ['low', 0.06516492357200322], ['high', 0.0418342719227675]], 1243]
['DOHL4.SA', 0.012086810789690906, 0.08636012299651118, [['high', 0.1434372522985074], ['low', 0.06648512454000163], ['null', 0.010427042258591838]], [['high', 0.4228295819935691], ['low', 0.3512861736334405], ['null', 0.22588424437299034]], 1244]
['EALT3.SA', 0.013419152073388318, 0.20045052357287726, [['high', 0.8610358181227726], ['low', 0.10478105858294633], ['null', 0.006030641226383305]], [['null', 0.5776347546259051], ['low', 0.22043443282381336], ['high', 0.20193081255028159]], 1243]
['EALT4.SA', -0.0017202603855317046, 0.13438102420886613, [['high', 0.22323104233517974], ['low', 0.06315300822073747], ['null', 0.06139535682145939]], [['low', 0.520096463022508], ['high', 0.4453376205787781], ['null', 0.03456591639871383]], 1244]
['ECOR3.SA', -0.006488934015537765, 0.1845064078879893, [['high', 0.2767271191240793], ['low', 0.10414414562529802], ['null', 0.0916419227917989]], [['low', 0.5136655948553055], ['high', 0.4670418006430868], ['null', 0.01929260450160772]], 1244]
['EKTR3.SA', 0.07001607991569193, 0.12589701393968333, [['high', 3.6443900596804735], ['low', 0.39277754889594185], ['null', 0.0]], [['null', 0.9525341914722446], ['high', 0.03298471440064361], ['low', 0.014481094127111826]], 1243]
['EKTR4.SA', 0.05376206870247697, 0.1766881176129798, [['high', 0.9528155928676568], ['low', 0.1407432813902159], ['null', 0.003022472510177098]], [['null', 0.7154340836012861], ['high', 0.16559485530546625], ['low', 0.1189710610932476]], 1244]
['ELET3.SA', -0.04127513787370786, 0.6545695315603275, [['high', 0.9759830691150784], ['low', 0.3692772038384604], ['null', 0.4893333435058594]], [['low', 0.520096463022508], ['high', 0.4678456591639871], ['null', 0.012057877813504822]], 1244]
['EMAE4.SA', -0.04047425076892522, 1.0389389133146723, [['high', 1.4806324624607705], ['low', 0.7025293545107946], ['null', 0.11064504807995211]], [['low', 0.47990353697749194], ['high', 0.4702572347266881], ['null', 0.04983922829581994]], 1244]
['EMBR3.SA', -0.0045498318227541025, 0.31736335263758225, [['high', 0.4970862289954876], ['low', 0.16063762934730733], ['null', 0.15238105683099656]], [['low', 0.5168810289389068], ['high', 0.4662379421221865], ['null', 0.016881028938906754]], 1244]
['ENEV3.SA', 0.004204175863235326, 0.23574558101666318, [['high', 0.3422435129892554], ['low', 0.13172453247094965], ['null', 0.1447727463462136]], [['low', 0.49758842443729906], ['high', 0.49356913183279744], ['null', 0.008842443729903537]], 1244]
['ENGI3.SA', -0.02408829149325944, 0.26658457881768033, [['high', 0.42144964089173015], ['low', 0.1378893164835859], ['null', 0.1698894915373429]], [['low', 0.5297427652733119], ['high', 0.4517684887459807], ['null', 0.018488745980707395]], 1244]
['ENGI4.SA', -0.015530545611856834, 0.14338425309711714, [['high', 0.2185565251889436], ['low', 0.07779366175333659], ['null', 0.09461543498895107]], [['low', 0.5064308681672026], ['high', 0.4622186495176849], ['null', 0.03135048231511254]], 1244]
